externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB129280726,2026-07-28 11:47:00+00:00,False,Charlotte Hornets,Denver Nuggets,HYPER,HOLLOW,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,59.0,63.0,1588.862510867806,1510.2312596510696,78.63125121673625,0.611266227167519
NB130280726,2026-07-28 11:51:00+00:00,False,Charlotte Hornets,Denver Nuggets,TD24,GALAXY,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,43.0,48.0,1592.0485445948632,1531.2301101923958,60.818434402467346,0.5866415983415376
NB272280726,2026-07-28 11:55:00+00:00,False,Miami Heat,Toronto Raptors,COMBO,DEFIANT,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,45.0,61.0,1487.1064375100125,1474.958754757425,12.14768275258757,0.5174748005353768
NB132280726,2026-07-28 11:59:00+00:00,False,Cleveland Cavaliers,Phoenix Suns,ARCHER,MARKSMAN,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,61.0,56.0,1574.8933234193387,1628.1143282550227,-53.22100483568397,0.42400231391218923
NB133280726,2026-07-28 12:03:00+00:00,False,Los Angeles Lakers,Boston Celtics,HARLEM,UNBREAKABLE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,49.0,51.0,1508.7648595737503,1481.0317441386915,27.733115435058835,0.539826610818981
NB134280726,2026-07-28 12:07:00+00:00,False,Oklahoma City Thunder,Boston Celtics,ABYSS,PUNISHER,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,58.0,51.0,1295.4440842335737,1363.7333255369092,-68.28924130333553,0.4029701860458752
NB135280726,2026-07-28 12:19:00+00:00,False,Dallas Mavericks,Orlando Magic,CHIEF,DIMES,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,63.0,64.0,1504.3224819806337,1538.9023340764606,-34.579852095826936,0.45039926584600093
NB136280726,2026-07-28 12:23:00+00:00,False,Dallas Mavericks,Orlando Magic,SHELL,SAINT JR,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,48.0,51.0,1602.6386842893048,1502.166840416924,100.47184387238076,0.6406905133481097
NB273280726,2026-07-28 12:27:00+00:00,False,Boston Celtics,Oklahoma City Thunder,COMBO,SMOG,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,52.0,60.0,1474.1130313213716,1579.18127915455,-105.06824783317848,0.35324139755779393
NB138280726,2026-07-28 12:31:00+00:00,False,Dallas Mavericks,Denver Nuggets,ARCHER,ALLFATHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,38.0,50.0,1584.0398242446001,1450.4239645895398,133.61585965506038,0.683338013597723
NB139280726,2026-07-28 12:35:00+00:00,False,Denver Nuggets,Orlando Magic,UNFORGIVEN,UNBREAKABLE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,54.0,58.0,1504.7804334675711,1487.5096634685192,17.270769999051936,0.5248341841474297
NB140280726,2026-07-28 12:39:00+00:00,False,Milwaukee Bucks,Memphis Grizzlies,ORDER,REND,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,49.0,52.0,1449.8656206230908,1352.1417446381827,97.72387598490809,0.6370409335706525
