externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore
NB004200826,2026-08-20 00:23:00+00:00,False,Dallas Mavericks,Denver Nuggets,HUNCHO,KARMA,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,49.0,55.0
NB005200826,2026-08-20 00:27:00+00:00,False,Los Angeles Lakers,New York Knicks,MARINE,OREZ,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,54.0,50.0
NB006200826,2026-08-20 00:31:00+00:00,False,Orlando Magic,Charlotte Hornets,NIGHTHAWK,MYTH,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,57.0,46.0
NB007200826,2026-08-20 00:35:00+00:00,False,Charlotte Hornets,Dallas Mavericks,PATIENCE,GENERAL,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,65.0,64.0
NB008200826,2026-08-20 00:39:00+00:00,False,Cleveland Cavaliers,Milwaukee Bucks,AZURE,SIGNAL,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,38.0,42.0
NB009200826,2026-08-20 00:51:00+00:00,False,Dallas Mavericks,Denver Nuggets,TAAPZ,CURSE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,53.0,54.0
NB010200826,2026-08-20 00:55:00+00:00,False,Orlando Magic,Charlotte Hornets,CALAMITY,OCEAN,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,44.0,59.0
NB011200826,2026-08-20 00:59:00+00:00,False,Toronto Raptors,Chicago Bulls,UNDERRATED,HORROR,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,88.0,85.0
NB012200826,2026-08-20 01:03:00+00:00,False,Milwaukee Bucks,Phoenix Suns,SILVER,CYPHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,60.0,58.0
NB013200826,2026-08-20 01:07:00+00:00,False,Los Angeles Lakers,New York Knicks,FURY,KOBRA,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,53.0,46.0
NB014200826,2026-08-20 01:11:00+00:00,False,Los Angeles Lakers,New York Knicks,PHARAOH,STING,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,30.0,50.0
NB015200826,2026-08-20 01:23:00+00:00,False,Dallas Mavericks,Charlotte Hornets,TAAPZ,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,59.0,42.0
NB016200826,2026-08-20 01:27:00+00:00,False,Charlotte Hornets,Denver Nuggets,OCEAN,KARMA,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,58.0,61.0
NB017200826,2026-08-20 01:31:00+00:00,False,Oklahoma City Thunder,New York Knicks,HORROR,OREZ,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,82.0,57.0
NB018200826,2026-08-20 01:35:00+00:00,False,Dallas Mavericks,Charlotte Hornets,CYPHER,MYTH,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,53.0,52.0
NB019200826,2026-08-20 01:39:00+00:00,False,Denver Nuggets,Dallas Mavericks,KOBRA,GENERAL,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,58.0,48.0
NB020200826,2026-08-20 01:43:00+00:00,False,Phoenix Suns,Milwaukee Bucks,STING,SIGNAL,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,43.0,40.0
NB021200826,2026-08-20 01:55:00+00:00,False,Charlotte Hornets,Denver Nuggets,BULLSEYE,CURSE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,52.0,55.0
NB022200826,2026-08-20 01:59:00+00:00,False,Orlando Magic,Dallas Mavericks,CALAMITY,HUNCHO,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,52.0,45.0
NB023200826,2026-08-20 02:03:00+00:00,False,Toronto Raptors,Brooklyn Nets,UNDERRATED,MARINE,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,65.0,61.0
NB024200826,2026-08-20 02:07:00+00:00,False,Milwaukee Bucks,Cleveland Cavaliers,SILVER,NIGHTHAWK,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,63.0,58.0
NB025200826,2026-08-20 02:11:00+00:00,False,Los Angeles Lakers,Boston Celtics,FURY,PATIENCE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,66.0,69.0
NB026200826,2026-08-20 02:15:00+00:00,False,Los Angeles Lakers,Oklahoma City Thunder,PHARAOH,AZURE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,55.0,62.0
NB027200826,2026-08-20 02:27:00+00:00,False,Denver Nuggets,Charlotte Hornets,CURSE,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,60.0,63.0
NB028200826,2026-08-20 02:31:00+00:00,False,Orlando Magic,Denver Nuggets,CALAMITY,KARMA,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,67.0,56.0
NB029200826,2026-08-20 02:35:00+00:00,False,Boston Celtics,New York Knicks,UNDERRATED,OREZ,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,64.0,50.0
NB030200826,2026-08-20 02:39:00+00:00,False,Denver Nuggets,Charlotte Hornets,SILVER,MYTH,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,61.0,48.0
NB031200826,2026-08-20 02:43:00+00:00,False,Orlando Magic,Dallas Mavericks,FURY,GENERAL,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,60.0,57.0
NB032200826,2026-08-20 02:47:00+00:00,False,Memphis Grizzlies,Milwaukee Bucks,PHARAOH,SIGNAL,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,63.0,61.0
NB033200826,2026-08-20 02:59:00+00:00,False,Denver Nuggets,Dallas Mavericks,CURSE,TAAPZ,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,54.0,50.0
NB034200826,2026-08-20 03:03:00+00:00,False,Charlotte Hornets,Dallas Mavericks,OCEAN,HUNCHO,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,47.0,51.0
NB035200826,2026-08-20 03:07:00+00:00,False,Chicago Bulls,Brooklyn Nets,HORROR,MARINE,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,66.0,72.0
NB036200826,2026-08-20 03:11:00+00:00,False,Phoenix Suns,Cleveland Cavaliers,CYPHER,NIGHTHAWK,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,58.0,60.0
NB037200826,2026-08-20 03:15:00+00:00,False,New York Knicks,Boston Celtics,KOBRA,PATIENCE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,49.0,54.0
NB038200826,2026-08-20 03:19:00+00:00,False,New York Knicks,Oklahoma City Thunder,STING,AZURE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,53.0,47.0
NB039200826,2026-08-20 03:31:00+00:00,False,Dallas Mavericks,Charlotte Hornets,TAAPZ,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,67.0,53.0
NB040200826,2026-08-20 03:35:00+00:00,False,Denver Nuggets,Dallas Mavericks,KARMA,HUNCHO,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,49.0,56.0
NB041200826,2026-08-20 03:39:00+00:00,False,New York Knicks,Los Angeles Lakers,OREZ,MARINE,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,58.0,48.0
NB042200826,2026-08-20 03:43:00+00:00,False,Charlotte Hornets,Orlando Magic,MYTH,NIGHTHAWK,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,44.0,56.0
NB043200826,2026-08-20 03:47:00+00:00,False,Dallas Mavericks,Charlotte Hornets,GENERAL,PATIENCE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,45.0,65.0
NB044200826,2026-08-20 03:51:00+00:00,False,Milwaukee Bucks,Cleveland Cavaliers,SIGNAL,AZURE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,51.0,47.0
