externalId,startDate,participantAName,participantBName,diff_avg_pts_for,diff_win_rate,diff_form5,diff_form3,diff_form2,diff_net_rating,diff_fatigue,diff_elo,elo_expected_prob_a,h2h_shrunk_full,h2h_shrunk_last5,h2h_n_meetings,avg_pts_for_prev_a,avg_pts_for_prev_b,volatility_prev_a,volatility_prev_b,hours_since_last_a,hours_since_last_b,matches_last_3h_a,matches_last_3h_b,market_prob_a,odds_a,odds_b,target_win_a,target_total
NB204260826,2026-08-26 18:59:00+00:00,JACKAL,CURSE,2.847852389594678,0.016233111514418308,-0.19999999999999996,0.0,0.0,0.7812058882839352,1,8.932918448649389,0.5128526710492427,0.5525705342098485,0.5612678537996634,16,57.3421052631579,54.49425287356322,8.124286914705744,8.9061865661569,0.5333333333333333,1.0666666666666667,2,1,,,,0,94.0
NB205260826,2026-08-26 19:03:00+00:00,HUNCHO,KARMA,1.7470866729377335,-0.09177271773184176,0.4,0.6666666666666666,0.5,-2.146463193737226,0,42.22707128311527,0.5604721724726272,0.5696755475956203,0.47132096554338987,21,54.91646778042959,53.16938110749186,8.233156849234865,7.792067397141965,0.5333333333333333,1.0666666666666667,1,1,,,,1,108.0
NB206260826,2026-08-26 19:07:00+00:00,OCEAN,SPOOKY,-2.2348484848484844,-0.02304989962718662,0.0,0.33333333333333337,0.5,0.042108785010995575,0,15.14766954486663,0.5217854470838219,0.5217854470838219,0.5217854470838219,0,53.0,55.234848484848484,7.832502873655572,7.917694337819944,0.5333333333333333,1.0666666666666667,1,1,,,,1,107.0
NB207260826,2026-08-26 19:11:00+00:00,MYTH,LAW,-2.714853195164075,0.013327576280944164,-0.19999999999999996,-0.3333333333333333,0.0,-1.4604778353483,0,-122.82214347737136,0.3302574038475093,0.5200156002331824,0.25789217948778187,62,50.55181347150259,53.266666666666666,7.39874747746175,8.008421750975913,0.5333333333333333,1.0666666666666667,1,1,,,,1,118.0
NB208260826,2026-08-26 19:15:00+00:00,STING,PATIENCE,-7.351849263555835,-0.02042609268614104,0.0,0.0,-0.5,-1.62313226710328,0,9.592381972557632,0.5138010408432204,0.5241393114509948,0.5616893514858757,19,47.21868365180467,54.5705329153605,8.247820548208812,8.244335392699002,0.5333333333333333,1.0666666666666667,1,1,,,,1,108.0
NB209260826,2026-08-26 19:19:00+00:00,LEGACY,ZION,0.8003663003662993,-0.0141941391941392,-0.2,0.0,-0.5,-1.2344322344322407,0,-43.23776986197072,0.4380950993970229,0.6697278713424318,0.639153377509788,24,50.42857142857143,49.62820512820513,8.179316596888103,8.300403235637763,0.5333333333333333,1.0666666666666667,1,1,,,,0,111.0
NB210260826,2026-08-26 19:31:00+00:00,LANES,CURSE,4.033348524552807,0.1125783297254187,0.0,0.0,-0.5,2.0262618206676493,-1,15.338645518379735,0.5220597552492483,0.4381599748973588,0.3431376689996659,35,58.51044776119403,54.47709923664122,7.886491412846252,8.893443836752482,1.0666666666666667,0.5333333333333333,1,2,,,,1,115.0
NB211260826,2026-08-26 19:35:00+00:00,PRODIGY,CALAMITY,-0.4445047953071182,0.10205158446879165,0.19999999999999996,0.3333333333333333,0.0,2.4853812967503615,0,132.76783609932295,0.6822807503780597,0.4806516429651599,0.4143470001680265,10,56.69905956112853,57.14356435643565,9.036110248385059,8.05418115008132,1.0666666666666667,1.6,1,1,,,,0,121.0
NB212260826,2026-08-26 19:39:00+00:00,OREZ,MARINE,3.1538649228967373,-0.023433535038063613,0.39999999999999997,0.0,-0.5,-0.6725551434706318,0,28.129470728066508,0.5403933412060934,0.4890830117685282,0.5735081516471526,27,57.68577981651376,54.53191489361702,7.999130963554568,7.730644602853754,1.0666666666666667,1.6,1,1,,,,1,121.0
NB213260826,2026-08-26 19:43:00+00:00,SILVER,JUGGERNAUT,-3.8806231637961233,-0.018840462521225843,-0.19999999999999996,-0.6666666666666667,-0.5,0.5551063313657352,0,14.71969403979665,0.5211706773885166,0.5211706773885166,0.5211706773885166,0,52.032128514056225,55.91275167785235,6.677400188227458,7.934439177579448,1.0666666666666667,1.6,1,1,,,,0,118.0
